state,state_name_count,feed_date
Wisconsin,0,2024-09-02
Wyoming,0,2024-09-02
DC,0,2024-09-02
Alabama,0,2024-09-03
Alaska,0,2024-09-03
Arizona,0,2024-09-03
Arkansas,0,2024-09-03
California,1,2024-09-03
Colorado,0,2024-09-03
Connecticut,0,2024-09-03
Delaware,0,2024-09-03
Florida,0,2024-09-03
Georgia,1,2024-09-03
Hawaii,0,2024-09-03
Idaho,0,2024-09-03
Illinois,0,2024-09-03
Indiana,1,2024-09-03
Iowa,0,2024-09-03
Kansas,0,2024-09-03
Kentucky,0,2024-09-03
Louisiana,0,2024-09-03
Maine,0,2024-09-03
Maryland,0,2024-09-03
Massachusetts,0,2024-09-03
Michigan,0,2024-09-03
Minnesota,0,2024-09-03
Mississippi,0,2024-09-03
Missouri,0,2024-09-03
Montana,0,2024-09-03
Nebraska,0,2024-09-03
Nevada,0,2024-09-03
New Hampshire,2,2024-09-03
New Jersey,1,2024-09-03
New Mexico,0,2024-09-03
New York,0,2024-09-03
North Carolina,2,2024-09-03
North Dakota,0,2024-09-03
Ohio,0,2024-09-03
Oklahoma,0,2024-09-03
Oregon,0,2024-09-03
Pennsylvania,0,2024-09-03
Rhode Island,0,2024-09-03
South Carolina,0,2024-09-03
South Dakota,0,2024-09-03
Tennessee,0,2024-09-03
Texas,3,2024-09-03
Utah,0,2024-09-03
Vermont,0,2024-09-03
Virginia,3,2024-09-03
Washington,28,2024-09-03
West Virginia,0,2024-09-03
Wisconsin,0,2024-09-03
Wyoming,0,2024-09-03
DC,1,2024-09-03
Alabama,0,2024-09-17
Alaska,0,2024-09-17
Arizona,0,2024-09-17
Arkansas,0,2024-09-17
California,0,2024-09-17
Colorado,0,2024-09-17
Connecticut,0,2024-09-17
Delaware,0,2024-09-17
Florida,2,2024-09-17
Georgia,4,2024-09-17
Hawaii,0,2024-09-17
Idaho,0,2024-09-17
Illinois,0,2024-09-17
Indiana,0,2024-09-17
Iowa,0,2024-09-17
Kansas,0,2024-09-17
Kentucky,0,2024-09-17
Louisiana,0,2024-09-17
Maine,0,2024-09-17
Maryland,0,2024-09-17
Massachusetts,0,2024-09-17
Michigan,0,2024-09-17
Minnesota,0,2024-09-17
Mississippi,0,2024-09-17
Missouri,0,2024-09-17
Montana,0,2024-09-17
Nebraska,0,2024-09-17
Nevada,0,2024-09-17
New Hampshire,0,2024-09-17
New Jersey,0,2024-09-17
New Mexico,0,2024-09-17
New York,11,2024-09-17
North Carolina,0,2024-09-17
North Dakota,0,2024-09-17
Ohio,3,2024-09-17
Oklahoma,0,2024-09-17
Oregon,0,2024-09-17
Pennsylvania,1,2024-09-17
Rhode Island,0,2024-09-17
South Carolina,0,2024-09-17
South Dakota,0,2024-09-17
Tennessee,0,2024-09-17
Texas,0,2024-09-17
Utah,0,2024-09-17
Vermont,0,2024-09-17
Virginia,0,2024-09-17
Washington,11,2024-09-17
West Virginia,0,2024-09-17
Wisconsin,0,2024-09-17
Wyoming,0,2024-09-17
DC,0,2024-09-17
Alabama,0,2024-09-01
Alaska,0,2024-09-01
Arizona,0,2024-09-01
Arkansas,0,2024-09-01
California,0,2024-09-01
Colorado,0,2024-09-01
Connecticut,0,2024-09-01
Delaware,0,2024-09-01
Florida,0,2024-09-01
Georgia,2,2024-09-01
Hawaii,0,2024-09-01
Idaho,0,2024-09-01
Illinois,0,2024-09-01
Indiana,0,2024-09-01
Iowa,1,2024-09-01
Kansas,0,2024-09-01
Kentucky,0,2024-09-01
Louisiana,0,2024-09-01
Maine,0,2024-09-01
Maryland,0,2024-09-01
Massachusetts,0,2024-09-01
Michigan,0,2024-09-01
Minnesota,1,2024-09-01
Mississippi,0,2024-09-01
Missouri,0,2024-09-01
Montana,0,2024-09-01
Nebraska,0,2024-09-01
Nevada,0,2024-09-01
New Hampshire,0,2024-09-01
New Jersey,0,2024-09-01
New Mexico,0,2024-09-01
New York,1,2024-09-01
North Carolina,63,2024-09-01
North Dakota,0,2024-09-01
Ohio,0,2024-09-01
Oklahoma,0,2024-09-01
Oregon,0,2024-09-01
Pennsylvania,2,2024-09-01
Rhode Island,0,2024-09-01
South Carolina,0,2024-09-01
South Dakota,0,2024-09-01
Tennessee,0,2024-09-01
Texas,4,2024-09-01
Utah,0,2024-09-01
Vermont,0,2024-09-01
Virginia,0,2024-09-01
Washington,7,2024-09-01
West Virginia,0,2024-09-01
Wisconsin,0,2024-09-01
Wyoming,0,2024-09-01
DC,4,2024-09-01
